peak_x,peak_y,check,peak_h,peak_name,prominence,col_x,col_y,col_h,parent_x,parent_y,parent_h,parent_name,remark
121.7556,24.9236,24.9236 121.7556,945,,295,121.7844,24.9147,650,121.7931,24.8983,1001,,1
121.4342,24.7303,24.7303 121.4342,2029,拉拉山,295,121.4419,24.7222,1734,121.4497,24.7050,2131,,0
121.2769,23.6422,23.6422 121.2769,2925,倫太文山,292,121.2622,23.6369,2633,120.95728,23.47,3952,玉山,0
121.0103,23.3458,23.3458 121.0103,3354,南雙頭山,291,121.0000,23.3567,3063,120.9758,23.3536,3559,雲峰,0
121.4561,24.9461,24.9461 121.4561,417,天上山,290,121.4608,24.9339,127,120.95728,23.47,3952,玉山,0
121.0456,23.0436,23.0436 121.0456,2275,關東松,290,121.0314,23.0503,1985,120.95728,23.47,3952,玉山,0
120.9139,24.3672,24.3672 120.9139,1398,馬那邦山,289,120.9367,24.3772,1109,120.95728,23.47,3952,玉山,0
120.9203,22.5467,22.5467 120.9203,1049,虷泉山,287,120.8983,22.5444,762,120.95728,23.47,3952,玉山,0
120.7042,22.5022,22.5022 120.7042,1643,大武藏山,286,120.7294,22.5097,1357,120.95728,23.47,3952,玉山,0
120.8608,22.5511,22.5511 120.8608,1235,北交莫爾,285,120.8431,22.5503,950,120.95728,23.47,3952,玉山,0
120.6714,23.2367,23.2367 120.6714,1181,河湖表山,285,120.6864,23.2631,896,120.95728,23.47,3952,玉山,0
120.8719,23.4608,23.4608 120.8719,2885,,285,120.9006,23.4758,2600,120.95728,23.47,3952,玉山,1
120.6539,23.5081,23.5081 120.6539,1461,,283,120.6600,23.5039,1178,120.95728,23.47,3952,玉山,1
120.7817,22.8358,22.8358 120.7817,2434,,283,120.8208,22.8633,2151,120.8333,22.8997,2549,石穗頭,1
120.6314,23.8892,23.8892 120.6314,442,橫山(二等),283,120.7003,23.8431,159,120.95728,23.47,3952,玉山,0
120.7392,22.7208,22.7208 120.7392,2061,井步山,282,120.7475,22.7183,1779,120.7614,22.6269,3077,北大武山,0
120.7878,24.0297,24.0297 120.7878,776,,282,120.8014,24.0494,494,120.95728,23.47,3952,玉山,1
121.6211,24.8111,24.8111 121.6211,1285,,281,121.6261,24.7956,1004,121.5675,24.7972,1458,,1
121.1458,23.5544,23.5544 121.1458,3056,僕落西擴山,281,121.1594,23.5667,2775,121.0919,23.6267,3607,東郡大山,0
120.7706,23.3953,23.3953 120.7706,2396,,280,120.7808,23.4006,2116,120.7944,23.4039,2409,,1
120.6578,23.4369,23.4369 120.6578,1465,隙頂山,279,120.6836,23.4558,1186,120.95728,23.47,3952,玉山,0
121.1600,23.4681,23.4681 121.1600,3332,布干山,278,121.1481,23.5022,3054,121.0572,23.4967,3825,秀姑巒山,0
121.3353,24.8664,24.8664 121.3353,651,金面山,278,121.3339,24.8464,373,120.95728,23.47,3952,玉山,0
121.5689,24.9211,24.9211 121.5689,726,,276,121.6256,24.9542,450,121.7181,24.9747,836,火燒寮山,1
121.7144,25.0061,25.0061 121.7144,599,,275,121.7219,24.9978,324,120.95728,23.47,3952,玉山,1
121.6700,25.1775,25.1775 121.6700,467,中幅子山,272,121.6547,25.1758,195,121.5533,25.1708,1109,七星山,0
121.4831,22.6525,22.6525 121.4831,271,火燒山,271,,,,,,,,0
121.0244,24.4464,24.4464 121.0244,2236,東洗水山,269,121.0453,24.4731,1967,121.2319,24.3831,3878,雪山,0
121.2928,23.5494,23.5494 121.2928,1927,撫魯山,266,121.2844,23.5475,1661,120.95728,23.47,3952,玉山,0
121.3178,23.2183,23.2183 121.3178,955,,266,121.3297,23.2131,689,121.3219,23.1397,1676,麻荖漏山-2,1
121.5511,24.1417,24.1417 121.5511,2439,塔山,265,121.5397,24.1292,2174,121.5219,24.1153,2507,,0
121.1300,24.1967,24.1967 121.1300,3040,白姑東南峰,265,121.1228,24.1967,2775,121.1089,24.2025,3336,白姑大山,0
121.2444,23.5936,23.5936 121.2444,3051,阿屘那來山,265,121.2383,23.6139,2786,121.0919,23.6267,3607,東郡大山,0
121.5308,24.0483,24.0483 121.5308,2028,嵐山,265,121.5119,24.0319,1763,120.95728,23.47,3952,玉山,0
120.8772,23.9103,23.9103 120.8772,948,,264,120.8658,23.9075,684,120.8381,23.8550,1388,集集大山,1
121.4936,24.0294,24.0294 121.4936,2315,七腳川山,264,121.4842,24.0408,2051,120.95728,23.47,3952,玉山,0
120.7311,23.6111,23.6111 120.7311,1778,,263,120.7392,23.6103,1515,120.95728,23.47,3952,玉山,1
121.8500,24.5378,24.5378 121.8500,815,,263,121.8417,24.5428,552,120.95728,23.47,3952,玉山,1
120.7706,23.2717,23.2717 120.7706,2276,,263,120.7750,23.2811,2013,120.7828,23.2958,2475,,1
120.5453,22.9347,22.9347 120.5453,635,月光山,263,120.5764,22.9508,372,120.5797,22.9667,659,,0
121.1411,24.6158,24.6158 121.1411,1202,梅山,263,121.1489,24.6253,939,120.95728,23.47,3952,玉山,0
120.8864,24.2042,24.2042 120.8864,1197,,263,120.9014,24.2325,934,120.95728,23.47,3952,玉山,1
120.9817,23.5428,23.5428 120.9817,2943,對關山,262,120.9733,23.5492,2681,120.9628,23.5772,3270,郡大山-2,0
121.1381,23.0911,23.0911 121.1381,1556,本古山,261,121.1306,23.0831,1295,120.95728,23.47,3952,玉山,0
121.7197,24.2683,24.2683 121.7197,1399,飛田盤山,261,121.7058,24.2869,1138,120.95728,23.47,3952,玉山,0
121.5631,24.8761,24.8761 121.5631,910,大桶山,260,121.5903,24.8689,650,120.95728,23.47,3952,玉山,0
120.8511,23.0058,23.0058 120.8511,2722,,260,120.8617,23.0158,2462,120.95728,23.47,3952,玉山,1
121.0714,24.1700,24.1700 121.0714,2974,九仙山,260,121.0803,24.1753,2714,121.1089,24.2025,3336,白姑大山,0
121.8492,25.1189,25.1189 121.8492,582,基隆山,259,121.8478,25.1119,323,121.8656,25.0931,730,燦光寮山,0
120.7850,22.4289,22.4289 120.7850,1651,穗花山,257,120.7781,22.4089,1394,120.7514,22.4075,1687,,0
120.3447,22.8414,22.8414 120.3447,310,大崗山,257,120.3619,22.8389,53,120.95728,23.47,3952,玉山,0
121.5222,25.1772,25.1772 121.5222,1091,,257,121.5292,25.1831,834,121.5631,25.2142,1100,竹子山,1
121.5903,24.4236,24.4236 121.5903,1423,,257,121.5861,24.4219,1166,120.95728,23.47,3952,玉山,1
121.1303,23.2214,23.2214 121.1303,2560,,256,121.1125,23.2244,2304,120.95728,23.47,3952,玉山,1
120.8589,24.1292,24.1292 120.8589,1123,頭拒山,256,120.8358,24.1144,867,120.8292,24.0747,1202,大橫屏山,0
121.1419,24.7647,24.7647 121.1419,470,,255,121.1533,24.7172,215,120.95728,23.47,3952,玉山,1
120.6711,22.9828,22.9828 120.6711,1108,大原山,254,120.6825,22.9900,854,120.95728,23.47,3952,玉山,0
121.0394,24.2961,24.2961 121.0394,2993,小雪山,254,121.0542,24.3072,2739,121.2319,24.3831,3878,雪山,0
120.7900,23.6011,23.6011 120.7900,2283,鹿屈,254,120.8183,23.5956,2029,120.95728,23.47,3952,玉山,0
121.2297,22.9247,22.9247 121.2297,950,八里芒山,254,121.2125,22.9133,696,121.1881,22.8950,1188,都蘭山,0
120.9083,23.8814,23.8814 120.9083,1008,貓囒山,253,120.9206,23.8725,755,120.95728,23.47,3952,玉山,0
121.5917,24.7872,24.7872 121.5917,1450,西阿玉山,253,121.5786,24.7939,1197,121.5675,24.7972,1458,,0
121.0592,23.5914,23.5914 121.0592,3241,無雙山P,252,121.0669,23.5917,2989,121.0919,23.6267,3607,東郡大山,0
121.3233,24.0861,24.0861 121.3233,3561,奇萊主峰,252,121.3264,24.1053,3309,121.3347,24.1181,3593,奇萊北峰,0
121.2206,23.7817,23.7817 121.2206,2938,卡社大山,251,121.2067,23.7681,2687,121.2392,23.6936,3039,關門山北峰,0
121.2003,24.3408,24.3408 121.2003,3584,大劍山,250,121.2086,24.3667,3334,121.2319,24.3831,3878,雪山,0
121.2058,23.3011,23.3011 121.2058,2034,大里仙山,250,121.1856,23.2992,1784,120.95728,23.47,3952,玉山,0
120.6422,23.0506,23.0506 120.6422,998,水冬瓜山,250,120.6300,23.0536,748,120.6225,23.0556,1037,廓庭山,0
120.6242,23.1653,23.1653 120.6242,1002,小林山,249,120.6422,23.1994,753,120.95728,23.47,3952,玉山,0
120.9453,23.0153,23.0153 120.9453,2780,,249,120.9336,23.0233,2531,120.95728,23.47,3952,玉山,1
121.0272,24.1606,24.1606 121.0272,2441,東八仙山,249,121.0303,24.1514,2192,121.1089,24.2025,3336,白姑大山,0
121.5683,24.4356,24.4356 121.5683,1868,山櫻山,248,121.5636,24.4406,1620,120.95728,23.47,3952,玉山,0
121.1750,24.3817,24.3817 121.1750,3297,火石山,247,121.1733,24.3736,3050,121.1211,24.3306,3524,大雪山,0
121.6669,24.4089,24.4089 121.6669,1618,飯包尖山,247,121.6747,24.4044,1371,121.6911,24.3908,1854,飯包山,0
120.7347,24.3831,24.3831 120.7347,610,火炎山北峰,247,120.7564,24.3894,363,120.95728,23.47,3952,玉山,0
120.9531,23.6722,23.6722 120.9531,3001,金子山,246,120.9486,23.6806,2755,120.9475,23.6939,3079,西巒大山,0
121.3842,24.9956,24.9956 121.3842,401,龜崙山,245,121.3647,25.0019,156,121.4264,25.1361,601,八里觀音山,0
120.6817,23.5564,23.5564 120.6817,1315,,245,120.6867,23.5478,1070,120.95728,23.47,3952,玉山,1
120.7125,23.6200,23.6200 120.7125,1658,,245,120.7264,23.6214,1413,120.95728,23.47,3952,玉山,1
