No, 山名, 別名,  等級, 編號, 高度(M),位置,x67,y67,備註
85 ,豐田山 ,加只來山 ,3 ,779, 191, 台東縣成功鎮, 283463, 2551577,
86 ,叭翁翁 ,,3,644 ,17,台東縣成功鎮, 284520,2550252, 有移位
87,叭翁翁山,, 3, 848, 158, 台東縣成功鎮 ,283100 ,2550051, 
88, 銅安山,, 3 ,4229, 442, 台東縣池上鄉, 269518 ,2548592, 另有中研點S056及一等水準點
89,信義山, 都歷下山, 3, 702, 236, 台東縣成功鎮 ,282088, 2547093
90, 都歷山,, 2, 1152, 812, 台東縣東河鄉, 280213 ,2546077 ,12峰 二等內補088
91, 嗄嘮吧灣山,, 2, 1151, 1001, 台東縣關山鎮、東河鄉, 271830, 2545836
92, 小馬武窟山,, 3 ,830, 288, 台東縣成功鎮 ,281275 ,2545265 
93 ,楠殖山,, 3 ,4210 ,213 ,台東縣東河鄉 ,275731, 2543556, 另有E907
95 ,大埔山,, 3 ,956 ,305 ,台東縣鹿野鄉, 267363 ,2542321
96, 志羅億山,, 3, 671, 299, 台東縣東河鄉 ,279816, 2541408
97, 揍妙山,, 3, 4213 , 716, 台東縣東河鄉, 271288, 2540178
98, 拔都山 ,,補3,IC133, 912,台東縣東河鄉, 276064 ,2540121, 12峰 三等三角點4209號遺失
99, 加里猛狎山 ,西金樽山, 3, 690 ,125 ,台東縣東河鄉, 277503, 2538581
100,七里橋, 登雅遠,3,836, 23,臺東縣東河鄉, 277605, 2537008
101, 八里芒山 ,都禿山 ,2, 1157, 953 ,台東縣東河鄉, 272734, 2536178 ,12峰
102 ,都蘭山 ,都巒山, 1 ,,1190 ,台東縣延平鄉、東河鄉, 268492, 2532886 ,12峰
103 ,東都南岡山,, 3, 804 ,420, 台東縣東河鄉, 268028 ,2529650 ,都南崗
104 ,利基利吉山, ,3, 4261 ,454 ,台東縣卑南鄉, 265545, 2528528
105 ,郡界,, 3,835 ,35,台東縣東河鄉, 268772 ,2528192, 廢點
106 ,加路蘭山,,  補3,IC444, 209, 台東縣卑南鄉,266764,2524032 
107 ,利基利基山 ,,3 ,761 ,239, 台東縣卑南鄉, 264680, 2523513, 移位
108 ,石頭山,,補3,IC130 ,188,台東市 ,265477 ,2521455,3-786原點遺失(現場有去找尋) 
109, 麻汝蘭山,,無,,1237,花蓮玉里台東長濱,290853,2588314,12峰 烏龜石牌
110, 新瑞山,,無,,714,花蓮縣瑞穗鄉, 295400,2604654,12峰 新安石牌
